Имя;Цена
ADANIPORTS;839.20
POWERGRID;211.50
LTIM;5,600.00
ULTRACEMCO;9,103.80
HEROMOTOCO;3,860.00
BPCL;440.00
INDUSINDBK;1,479.00
ASIANPAINT;3,146.95
HINDALCO;520.05
TATASTEEL;128.90
GRASIM;2,019.95
LT;3,129.95
EICHERMOT;3,922.00
SUNPHARMA;1,233.05
TATACONSUM;945.90
BAJFINANCE;7,160.00
M&M;1,656.00
JSWSTEEL;805.00
ADANIENT;2,370.00
COALINDIA;343.80
ITC;437.90
TECHM;1,226.80
HDFCLIFE;694.05
NESTLEIND;24,339.95
BRITANNIA;4,873.00
NTPC;262.35
SBIN;567.00
BAJAJFINSV;1,680.00
APOLLOHOSP;5,550.00
HCLTECH;1,346.00
TCS;3,500.00
INFY;1,459.90
DIVISLAB;3,799.00
KOTAKBANK;1,760.00
TITAN;3,499.00
TATAMOTORS;708.00
DRREDDY;5,800.00
SBILIFE;1,438.05
WIPRO;413.75
ONGC;195.25
AXISBANK;1,075.40
ICICIBANK;935.95
CIPLA;1,213.45
HINDUNILVR;2,547.50
BHARTIARTL;1,015.00
RELIANCE;2,378.00
UPL;570.65
MARUTI;10,608.00
HDFCBANK;1,557.90
BAJAJ-AUTO;6,050.00
